http://www.bcc1898.com,Timonium,Baltimore CC,,"Timonium, MD",,410-889-4400.,,"*no email listed, asks to call", MD,,,baltimore-cc,,
,Bay Harbor,Bay Harbor (Links /Quarry),,Bay Harbor,@BayHarbor,,,,,https://www.facebook.com/RenaissanceLakeMichiganBayHarborInn,,bay-harbor-(links-/quarry),,
http://www.berkleighgolfclub.com, Kutztown,Berkleigh GC,19530.1,"14623 Kutztown Rd, Kutztown, PA ",no account,(610) 683-7368,,proshop@berkleighgolfclub.com, PA ,https://www.facebook.com/pages/Berkleigh-Golf-Club/336178536518,,berkleigh-gc,,14623 Kutztown Rd
http://nysparks.com/golf-courses/11/details.aspx, Farmingdale,Bethpage State Park (Red),,"99 Quaker Meetinghouse Road, Farmingdale, NY",not listed on site,(516) 249-0700,,call, NY,not listed on site,,bethpage-state-park-(red),,99 Quaker Meetinghouse Road
http://www.beverlycc.org,Chicago,Beverly CC,,"Chicago, IL",,,,, IL,,,beverly-cc,,
http://www.purduegolf.com,West Lafayette,Birck Boilermaker Golf Complex (Kampen),,West Lafayette,@PurdueGolf,765.494.3139,,bbgc@purdue.edu,,https://www.facebook.com/purduegolfcourse,,birck-boilermaker-golf-complex-(kampen),,
,Lecanto,Black Diamond Ranch (Quarry),,"Lecanto, FL",,,,, FL,,,black-diamond-ranch-(quarry),,
,Johnson,Blessings GC,,"Johnson, AR",,,,, AR,,,blessings-gc,,
,,Buffalo Ridge (Spring),,Branson,,,,,,,,buffalo-ridge-(spring),,
,South San Fran,California GC,,"South San Fran, CA",,,,,CA,,,california-gc,,
,Charlotte,Carolina GC,,"Charlotte, NC",,,,, NC,,,carolina-gc,,
,Wheaton,Chicago GC,,"Wheaton, IL",,,,, IL,,,chicago-gc,,
, Westchester,Chicago Highlands,,"2 Bluebird Trail, Westchester, IL",no account,(708) 947-2190,,info@chicagohighlands.com,,https://www.facebook.com/chihigh,,chicago-highlands,"Par-72 // 7,500+ yards",2 Bluebird Trail
http://www.clearcreektahoe.com,Carson City,Clear Creek,,"199 Old Clear Creek RoadCarson City, NV",no account,775-781-3304,,, NV,no page listed,,clear-creek,,199 Old Clear Creek Road
,Sunset,Cliffs at Keowee Vineyards,,"Sunset, SC",,,,, SC,,,cliffs-at-keowee-vineyards,,
,Travelers Rest,Cliffs at Mountain Park,,"Travelers Rest, SC",,,,, SC,,,cliffs-at-mountain-park,,
https://www.llakecharles.com/amenities/golf-course/,Lake Charles,Contraband Bayou GC at L'Auberge,,Lake Charles,no account,,,,,no account,$39-$99,contraband-bayou-gc-at-l'auberge,,
http://www.ccofd.com/,Grosse Pointe Farms,Country Club of Detroit,,"220 Country Club Drive - Grosse Pointe Farms, MI",,(313) 881-8000,,, MI,,,country-club-of-detroit,,220 Country Club Drive
http://www.deserthighlandsscottsdale.com/golf,Scottsdale,Desert Highlands,,"Scottsdale, AZ",,,,, AZ,,,desert-highlands,,
,Mullen,Dismal River Club (Niklaus),,"Mullen, NE",@DismalRiver,,,, NE,https://www.facebook.com/DismalRiverGolfClub,,dismal-river-club-(niklaus),,
,Wilmingon,Eagle Point Club,,"Wilmingon, NC",,,,, NC,,,eagle-point-club,,
,,Fort GC,,,,,,,,,,fort-gc,,
,,"Fox Chapel GC
",,,,,,,,,,"fox-chapel-gc
",,
,Farmington Hills,Franklin HIlls CC,,"Farmington Hills, MI",,,,, MI,,,franklin-hills-cc,,
http://www.frenchlick.com/golf/petedye,French Lick,French Lick Resort (Dye),,French Lick,@FrenchLickResor,888.936.9360,,?,,https://www.facebook.com/golffrenchlick,,french-lick-resort-(dye),,
http://www.frenchlick.com/golf/donaldross,French Lick,French Lick Resort (Ross),,French Lick,@FrenchLickResor,888.936.9360,,?,,https://www.facebook.com/golffrenchlick,,french-lick-resort-(ross),,
,Boston,George Wright Municipal GC,,Boston,?,?,,?,MA,?,,george-wright-municipal-gc,,
http://www.grandcypress.com, Orlando,Grand Cypress (New),32836,"One North Jacaranda, Orlando, FL",@Grand_Cypress,Tee Times: (407)239-1909; Pro Shop: (407)239-3620,,teetimes@grandcypress.com, FL,https://www.facebook.com/grandcypressgolf,$150 (January - April); $99 (May 1 - September 30); $125 (October 1 - December 31),grand-cypress-(new),"5,314 - 6,851 yards Par 72",One North Jacaranda
http://www.grandcypress.com/golf_club/orlando_golf_courses/, Orlando,Grand Cypress (North /South),32836,"One North Jacaranda, Orlando, FL",@Grand_Cypress,Tee Times: (407)239-1909; Pro Shop: (407)239-3620,,teetimes@grandcypress.com, FL,https://www.facebook.com/grandcypressgolf,$150 (January - April); $99 (May 1 - September 30); $125 (October 1 - December 31),grand-cypress-(north-/south),"5,204 - 7,136 yards Par 72",One North Jacaranda
,Greenville,Greenville CC (Chanticleer),,"Greenville, SC",,,,, SC,,,greenville-cc-(chanticleer),,
,Ball Ground,Hawk's Ridge,,"Ball Ground, GA",,,,, GA,,,hawk's-ridge,,
,Kona,Hualalai GC (Emerald),,Kona,,,,,HI,,,hualalai-gc-(emerald),,
,Miami Beach,Indian Creek CC,,"Miami Beach, FL",,,,, FL,,,indian-creek-cc,,
http://kapalua.com/golf/plantation-course,Maui,Kapalua (Plantation),,Maui,widget brings you to home page,(877) 527-2582,,,HI,https://www.facebook.com/KapaluaGolf,,kapalua-(plantation),,
,Maui,King Kamehameha GC,,Maui,,,,,HI,,,king-kamehameha-gc,,
,Poipu,Kukuiula,,"Poipu, Hawaii",,,,,HI,,,kukuiula,,
,Henderson,Lake Las Vegas (SouthShore),,"Henderson, NV",,,,, NV,,,lake-las-vegas-(southshore),,
http://www.legendsgolf.com, Myrtle Beach,Legends Golf Complex (Moorland),,"1500 Legends Dr, Myrtle Beach, SC",not listed on site,,,"*no email listed, contact form for future guests", SC,https://www.facebook.com/MBLegendsGolf,,legends-golf-complex-(moorland),,1500 Legends Dr
,Longmeadow,Longmeadow CC,,"Longmeadow, MA",,,,, MA,,,longmeadow-cc,,
,Lookout Mountain,Lookout Mountain GC,,"Lookout Mountain, GA",,,,, GA,,,lookout-mountain-gc,,
http://www.martiscamp.com/lake-tahoe-golf/,Truckee,Martis Camp,,"Truckee, CA",,,,, CA,,,martis-camp,,
,Kamuela,Mauna Kea GC,,"Kamuela, HI",,,,, HI,,,mauna-kea-gc,,
http://www.palmettobluff.com/golf.aspx, Bluffton,May River Course at Palmetto Bluff,,"476 Mt Pelia Rd, Bluffton, SC ",Twitter link brings you to home page,,,gwrobel@montagehotels.com, SC ,https://www.facebook.com/PalmettoBluff,,may-river-course-at-palmetto-bluff,,476 Mt Pelia Rd
,Medinah,Medinah CC (No. 3),,"Medinah, IL",,,,, IL,,,medinah-cc-(no.-3),,
website inactive,Milwaukee,Milwaukee CC,,"Milwaukee, WI",,,,, WI,,,milwaukee-cc,,
http://missioninnresort.com,Howey-in-the-Hills,Mission Inn Resort (El Campeon),,Howey-in-the-Hills,@Mission_Inn,,,?,,https://www.facebook.com/MissionInnResortandClub,,mission-inn-resort-(el-campeon),,
,Hamilton,Myopia Hunt Club,,"Hamilton, MA",,,,, MA,,,myopia-hunt-club,,
,Kona,Nanea Golf club,,Kona,,,,,,,,nanea-golf-club,,
,Siaconsett,Nantucket GC,,"Siaconsett, MA",,,,, MA,,,nantucket-gc,,
http://www.nngc.net,Naples,Naples National GC,,"Naples, FL",,(239) 775-3468,,, FL,,,naples-national-gc,,
,Hamden,New Haven CC,,"Hamden, CT",,,,, CT,,,new-haven-cc,,
,Duluth,Northland CC,,"Duluth, MN",,,,, MN,,,northland-cc,,
,Sea Island,Ocean Forest GC,,"Sea Island, GA",,,,, GA,,,ocean-forest-gc,,
,West Point,Old Waverly GC,,"West Point, MS",,,,, MS,,,old-waverly-gc,,
,Olympia FIelds,Olympia Fields CC (North),,"Olympia FIelds, IL",,,,, IL,,,olympia-fields-cc-(north),,
http://www.palmettoclub.org,Aiken,Palmetto Club,,"Aiken, SC",,,,, SC,,,palmetto-club,,
,San Mateo,Peninsula GC,,San Mateo,,,,,,,,peninsula-gc,,
,,Philadelphia CC (Spring Mill),?,?,,?,,?,,,,philadelphia-cc-(spring-mill),,?
,Plymouth,Pinehills (Nicklaus),,Plymouth,@pinehillsgolfMA,,,,MA,https://www.facebook.com/pages/Pinehills-Golf-Club/299663103856,,pinehills-(nicklaus),,
http://www.pinehurst.com/golf/courses/no-4/,Pinehurst,Pinehurst No. 4,,Pinehurst,@PinehurstResort,?,,inquiries@pinehurst.com,NC,https://www.facebook.com/PinehurstResort,,pinehurst-no.-4,,
http://www.pinehurst.com/golf/courses/no-8/, Pinehurst,Pinehurst No. 8,,"80 Carolina Vista Dr, Pinehurst, NC",@PinehurstResort,?,,inquiries@pinehurst.com, NC,https://www.facebook.com/PinehurstResort,,pinehurst-no.-8,,80 Carolina Vista Dr
,Locust Valley,Piping Rock,,"Locust Valley, NY",,,,, NY,,,piping-rock,,
,Park City,Promontory (Painted Valley),,"Park City, UT",,435-333-4600,,, UT,,,promontory-(painted-valley),,
http://www.redskygolfclub.com/info/crs.norman.asp,Wolcott,Red Sky (Norman),,Wolcott,no account,1-866-873-3759,,"(Mike Gibbs, Club Director) mgibbs@vailresorts.com",,https://www.facebook.com/pages/Red-Sky-Golf-Club/228895987182311?rf=159773440712362,,red-sky-(norman),,
http://www.rcc1890.com, Paramus,Ridgewood CC (Championship),76520.1,"96 W Midland Ave, Paramus, NJ",,(201) 599-3900,,"(Eban Ross, club manager) eross@rcc1890.com", NJ,,,ridgewood-cc-(championship),,96 W Midland Ave
,Chula Vists,San DIego CC,,"Chula Vists, CA",,,,, CA,,,san-diego-cc,,
,Sedalia,Sanctuary GC,,"Sedalia, CO",,,,, CO,,,sanctuary-gc,,
http://www.seaisland.com/golf/, St. Simons Island,Sea Island GC (Plantation),,"100 Retreat Avenue, St. Simons Island, GA",@seaislandresort,912-638-5118,,, GA,https://www.facebook.com/seaisland,$175-$210,sea-island-gc-(plantation),"Par 72; Six tee areas; 5,194 to 7,058 yards",100 Retreat Avenue
, Juno Beach,Seminole GC,,"901 Seminole Blvd, Juno Beach, FL",,(561) 626-0280,,, FL,,,seminole-gc,,901 Seminole Blvd
,Kensington,Shuttle Meadow CC,,"Kensington, CT",,,,, CT,,,shuttle-meadow-cc,,
,St. Louis,St. Louis CC,,"St. Louis, MO",,,,, MO,,,st.-louis-cc,,
,Brookline ,The Country Club (Composite),,"Brookline ,MA",,,,,MA,,,the-country-club-(composite),,
,Dalton,The Farm GC,,"Dalton, GA",,,,, GA,,,the-farm-gc,,
,,TPC at Myrtle Beach,,Murrells Inlet,?,,,,,?,,tpc-at-myrtle-beach,,Murrells Inlet
,,TPC Four Seasons Las Colinas,,Irving,,,,,,,,tpc-four-seasons-las-colinas,,Irving
http://www.fishclub.com,Pawleys Island,True Blue,,Pawleys Island,not listed on site,(843) 235-0900,,truebluegolf@sccoast.net,,not listed on site,,true-blue,,
,,Trump National GC,,,,,,,,,,trump-national-gc,,
http://www.turnberryislemiami.com/activities/golf,Aventure,Turnberry Isle Resort (Miller),,"
19999 West Country Club Drive Aventure, FL",@TIsleMiami,305-933-6929,,"*no email listed, contact form", FL,https://www.facebook.com/TurnberryIsleMiami,,turnberry-isle-resort-(miller),,"
19999 West Country Club Drive"
http://www.turningstone.com/,Verona,Turning Stone Resort (Shenendoah),,Verona,@TurningStone,,,(Media Contact) bstagnitti@oneida-nation.org,,https://www.facebook.com/TurningStoneResort,,turning-stone-resort-(shenendoah),,
no website?,Scottsdale,Whisper Rock (Lower),,"Scottsdale, AZ",,,,, AZ,,,whisper-rock-(lower),,
,,Windance Country Club,,,,,,,,,,windance-country-club,,
,Independence,Windsong Farms,,"Independence, MN",,,,, MN,,,windsong-farms,,
,Worcester,Worcester CC,,"Worcester, MA",,,,, MA,,,worcester-cc,,
